station_name,station_code,state_name,day,std_min,lat,lng,stop,platform_number,food_available,hotel_available,hospital_available
BAGHOI KUSA,BHKH,BIHAR,2,1800,24.8401006513,84.4626331329,False,0,False,False,False
PHESAR,PES,BIHAR,2,1803,24.845319,84.417915,False,0,False,False,False
ANUGRAHA NARAYAN ROAD,AUBR,BIHAR,2,1811,24.8555556,84.3294444,True,2,False,True,True
CHIRAILA,CPBH,BIHAR,2,1815,24.863388,84.268913,False,0,False,False,False
SON NAGAR,SEB,BIHAR,2,1820,24.882543,84.229603,False,0,False,False,False
ADSR,ADSR,BIHAR,2,1824,24.909715,84.192584,False,0,False,False,False
DEHRI ON SONE,DOS,BIHAR,2,1827,24.914775,84.185314,True,2,False,True,True
PAHALEJA HALT,PHE,BIHAR,2,1831,24.933144,84.145317,False,0,False,False,False
KARWANDIA,KWD,BIHAR,2,1835,24.953145,84.084549,False,0,False,True,False
SASARAM,SSM,BIHAR,2,1843,24.956336,84.019833,True,2,False,True,True
KUMAHU,KMGE,BIHAR,2,1848,24.977344,83.946705,False,0,False,False,False
SHIU SAGAR ROAD,SSG,BIHAR,2,1852,24.999905,83.895893,False,0,False,False,False
KHURMABAD ROAD,KVD,BIHAR,2,1855,25.021529,83.848343,False,0,False,False,False
KUDRA,KTQ,BIHAR,2,1859,25.048592,83.793411,False,0,False,False,False
PUSAULI,PSE,BIHAR,2,1865,25.097725,83.722,False,0,False,False,False
MUTHANI,MTGE,BIHAR,2,1870,25.173097,83.619003,False,0,False,True,False
BHABUA ROAD,BBU,BIHAR,2,1875,25.173097,83.619003,True,2,False,True,False
DURGAUTI,DGO,BIHAR,2,1884,25.207737,83.539524,False,0,False,False,False
DHANICHHA,DCX,BIHAR,2,1889,25.2276154039,83.4912872314,False,0,False,False,False
KARAMNASA,KMS,BIHAR,2,1896,25.240038,83.431192,False,0,False,False,False
SAIDRAJA,SYJ,UTTAR PRADESH,2,1904,25.253391,83.35104,False,0,False,False,False
CHANDAULI MJHWR,CDMR,UTTAR PRADESH,2,1912,25.261153,83.267784,False,0,False,False,False
GANJ KHAWAJA,GAQ,UTTAR PRADESH,2,1921,25.273572,83.184013,False,0,False,False,False
FLYOVER CABIN MUGHALSARAI,FOCM,UTTAR PRADESH,2,1923,25.288939,83.171971,False,0,False,False,False
MUGHAL SARAI OUTER,MGSO,UTTAR PRADESH,2,1926,25.2968543893,83.1565475464,False,0,False,False,False
MUGHAL SARAI MARSHALING YARD,MGMY,UTTAR PRADESH,2,1928,25.2870763899,83.1361198425,False,0,False,False,False
MUGHAL SARAI JN,MGS,,2,1950,25.278539,83.11964,True,4,False,True,True
NEW WEST CABIN,NEWC,UTTAR PRADESH,2,1952,25.27365,83.10907,False,0,False,False,False
AVCD,AVCD,,2,1956,,,False,0,False,False,False
JEONATHPUR,JEP,UTTAR PRADESH,2,1960,25.2318081241,83.0623054504,False,0,False,False,False
AHRAURA ROAD,ARW,,2,1967,25.1963207241,83.0187034607,False,0,False,False,False
KAILAHAT,KYT,UTTAR PRADESH,2,1978,25.154763,82.947121,False,0,False,False,False
CHUNAR,CAR,Uttar Pradesh,2,1992,25.103671,82.875023,True,3,False,True,True
DAGMAGPUR,DAP,UTTAR PRADESH,2,1999,25.098541,82.800651,False,0,False,False,False
PAHARA,PRE,UTTAR PRADESH,2,2006,25.1195642638,82.7245616913,False,0,False,False,True
JHINGURA,JHG,UTTAR PRADESH,2,2013,25.1243046744,82.6511764526,False,0,False,False,True
MIRZAPUR,MZP,UTTAR PRADESH,2,2025,25.13429,82.569809,True,3,False,True,True
VINDHYACHAL,BDL,UTTAR PRADESH,2,2035,25.1606517,82.5019012,True,3,False,True,True
BIROHE,BEO,UTTAR PRADESH,2,2041,25.174029,82.449989,False,0,False,False,True
GAIPURA,GAE,UTTAR PRADESH,2,2051,25.16059,82.386389,False,0,False,False,True
JIGNA,JIA,UTTAR PRADESH,2,2060,25.157871,82.325535,False,0,False,False,True
MANDA ROAD,MNF,UTTAR PRADESH,2,2071,25.162998,82.236958,False,0,False,False,True
UNCHDIH,UND,UTTAR PRADESH,2,2081,25.1923597817,82.1633148193,False,0,False,False,True
MEJA ROAD,MJA,UTTAR PRADESH,2,2092,25.221365,82.089157,False,0,False,False,True
BHEERPUR,BEP,UTTAR PRADESH,2,2107,25.265034,81.98925,False,0,False,False,True
KARCHANA,KCN,UTTAR PRADESH,2,2119,25.313576,81.916037,False,0,False,False,True
CHEOKI,COI,,2,2130,25.379548,81.864796,False,2,False,True,True
ALAHABAD CHHEOKI JN,ACOI,,2,2140,25.379548,81.864796,True,0,False,False,False
LINK JN. CABIN,LKJN,UTTAR PRADESH,2,2141,25.356902,81.841939,False,0,False,True,False
IRADATGANJ,IDGJ,UTTAR PRADESH,2,2148,25.317999,81.819391,False,0,False,False,False
JASRA,JSR,UTTAR PRADESH,2,2153,25.280402,81.775017,False,0,False,False,False
MADARAHA,MFX,UTTAR PRADESH,2,2157,25.273727,81.764374,False,0,False,False,False
LOHGARA,LOG,UTTAR PRADESH,2,2162,25.25013,81.72987,False,0,False,False,False
BVAR,BVAR,UTTAR PRADESH,2,2167,,,False,0,False,False,False
SHANKARGARH,SRJ,UTTAR PRADESH,2,2172,25.1813305966,81.6190624237,True,1,False,False,False
MAJHIARI,MJHR,UTTAR PRADESH,2,2186,25.1785343066,81.5183830261,False,0,False,True,False
BARGARH,BRG,UTTAR PRADESH,2,2196,25.1639304163,81.4497184753,False,0,False,True,False
KATAIYA DANDI,KTDD,UTTAR PRADESH,2,2204,25.1494024712,81.3988208771,False,0,False,False,False
DABHAURA,DBR,MADHYA PRADESH,2,2218,25.11801,81.303205,False,0,False,False,False
PANHAI,PNHI,UTTAR PRADESH,2,2234,25.082179,81.189995,False,0,False,False,False
MANIKPUR JN,MKP,UTTAR PRADESH,2,2255,25.063442,81.093607,True,1,False,True,False
BANSAPAHAR,BNSP,UTTAR PRADESH,2,2258,25.055745,81.050262,False,0,False,False,False
BARAHMUAFI,BQF,UTTAR PRADESH,2,2263,25.039882,81.009922,False,0,False,False,False
MARKUNDI,MKD,UTTAR PRADESH,2,2271,25.017173,80.946894,False,0,False,False,False
TIKARIA,TKYR,UTTAR PRADESH,2,2278,24.99586,80.86484,False,0,False,False,False
ITWAN DUNDAILA,EDA,UTTAR PRADESH,2,2285,24.940148728,80.8428955078,False,0,False,False,False
MAJHAGAWAN,MJG,MADHYA PRADESH,2,2291,24.913529,80.811796,False,0,False,False,False
CHITAHRA,CTHR,MADHYA PRADESH,2,2296,24.862297,80.842524,False,0,False,False,False
KHUTAHA,KTHA,MADHYA PRADESH,2,2303,24.802318,80.86092,False,0,False,False,False
JAITWAR,JTW,MADHYA PRADESH,2,2311,24.739816,80.863466,False,0,False,False,False
HATI,HATI,MADHYA PRADESH,2,2317,24.68898,80.843039,False,0,False,False,False
SAGMA,SAGM,MADHYA PRADESH,2,2324,24.622207,80.828447,False,0,False,True,False
SATNA,STA,MADHYA PRADESH,2,2340,24.569099,80.828197,True,1,False,True,True
LAGARGAWAN,LGCE,MADHYA PRADESH,2,2347,24.464338,80.8144,False,0,False,False,False
UNCHHERA,UHR,MADHYA PRADESH,2,2354,24.38103,80.79423,False,0,False,False,False
MAIHAR,MYR,MADHYA PRADESH,2,2365,24.255925,80.763588,True,2,False,True,False
BHADANPUR,BUU,MADHYA PRADESH,2,2376,24.16782,80.679517,False,0,False,False,False
AMDARA ROAD,UDR,MADHYA PRADESH,2,2386,24.0993608758,80.5777645111,False,0,False,False,False
PAKARA ROAD,PKRD,MADHYA PRADESH,2,2393,24.05101,80.505409,False,0,False,True,False
JUKEHI,JKE,MADHYA PRADESH,2,2401,23.986723,80.432239,False,0,False,True,False
PATWARA,PTWA,MADHYA PRADESH,2,2408,23.9140872844,80.4134845734,False,0,False,False,False
KATNI,KTE,MADHYA PRADESH,2,2420,23.833795,80.400953,True,4,False,True,True
KATNI SOUTH,KTES,MADHYA PRADESH,2,2422,23.824295,80.400683,False,0,False,True,False
MADHAVNAGAR ROA,MDRR,MADHYA PRADESH,2,2425,23.7861302083,80.3943443298,False,0,False,True,False
NIWAR,NWR,MADHYA PRADESH,2,2432,23.7199827184,80.3691101074,False,0,False,False,False
SANSARPUR,SNRR,MADHYA PRADESH,2,2440,23.6788003455,80.3471374512,False,0,False,False,False
SLEEMANABAD RD,SBD,MADHYA PRADESH,2,2446,23.614329,80.285168,False,0,False,False,False
DUNDI,DDCE,MADHYA PRADESH,2,2455,23.557614,80.216417,False,0,False,False,False
SIHORA ROAD,SHR,MADHYA PRADESH,2,2469,23.466966,80.110095,False,0,False,False,True
GOSALPUR,GSPR,MADHYA PRADESH,2,2479,23.381456,80.058875,False,0,False,False,False
DEORI,DOE,MADHYA PRADESH,2,2489,23.298235,80.009608,False,0,False,False,False
ADHARTAL,ADTL,MADHYA PRADESH,2,2497,23.227859,79.972744,False,0,False,True,False
JABALPUR,JBP,MADHYA PRADESH,2,2515,23.164746,79.951029,True,1,False,True,True
MADAN MAHAL,MML,MADHYA PRADESH,2,2517,23.159695,79.920645,False,0,False,True,False
KACHHPURA,KEQ,MADHYA PRADESH,2,2519,23.1739778936,79.891076088,False,0,False,True,False
BHERAGHAT,BRGT,MADHYA PRADESH,2,2525,23.1698663,79.7979789,False,0,False,False,False
BHITONI,BHTN,MADHYA PRADESH,2,2533,23.1426083,79.6738909,False,0,False,False,False
BIKRAMPUR,BMR,MADHYA PRADESH,2,2541,23.082416,79.586506,False,0,False,False,False
SHRIDHAM,SRID,Madhya Pradesh,2,2550,23.034243,79.484797,True,3,False,False,False
KARAK BEL,KKB,MADHYA PRADESH,2,2569,22.992215,79.341159,False,0,False,True,False
BELKHERA,BELD,MADHYA PRADESH,2,2574,22.982101,79.300089,False,0,False,True,False
GHATPINDRAI,GPC,MADHYA PRADESH,2,2581,22.952466,79.2661,False,0,False,True,False
NARSINGHPUR,NU,MADHYA PRADESH,2,2590,22.942942,79.214215,True,2,False,True,True
KARELI,KY,MADHYA PRADESH,2,2604,22.931994,79.066415,True,2,False,True,False
KARAPGAON,KFY,MADHYA PRADESH,2,2610,22.9150769073,78.9840602875,False,0,False,True,False
BOHANI,BNE,MADHYA PRADESH,2,2614,22.9133376381,78.9155673981,False,0,False,False,False
GADARWARA,GAR,MADHYA PRADESH,2,2625,22.899739,78.792014,True,2,False,False,False
SALICHAUKA ROAD,SCKR,MADHYA PRADESH,2,2637,22.834059,78.676701,False,0,False,False,False
JUNEHTA,JHT,MADHYA PRADESH,2,2646,22.78269,78.596363,False,0,False,False,False
BANKHEDI,BKH,MADHYA PRADESH,2,2652,22.7752319,78.5383469,False,0,False,False,False
PIPARIYA,PPI,MADHYA PRADESH,2,2670,22.753981,78.354578,True,2,False,True,False
SOBHAPUR,SXF,MADHYA PRADESH,2,2683,22.727899,78.292351,False,0,False,False,False
SOHAGPUR,SGP,MADHYA PRADESH,2,2698,22.693893,78.194418,False,0,False,False,False
GURAMKHEDI,GMD,MADHYA PRADESH,2,2713,22.681816476,78.0774307251,False,0,False,False,False
BAGRA TAWA,BGTA,MADHYA PRADESH,2,2734,22.6311213,77.9941173,False,0,False,False,False
SONTALAI,SQL,MADHYA PRADESH,2,2744,22.613258,77.950015,False,0,False,False,False
GURRA,GRO,MADHYA PRADESH,2,2758,22.631837,77.86706,False,0,False,False,False
ITARSI JN,ET,MADHYA PRADESH,2,2785,22.608068,77.766938,True,7,False,True,True
JUJHARPUR,JUH,MADHYA PRADESH,2,2786,22.605137,77.75657,False,0,False,True,False
ETBC,ETBC,,2,2786,,,False,0,False,False,False
DULARIA,DRA,MADHYA PRADESH,2,2793,22.575241,77.653942,False,0,False,False,False
KHUTWANSA,KTZ,MADHYA PRADESH,2,2797,22.545379,77.602615,False,0,False,False,False
DHARMKUNDI,DKI,MADHYA PRADESH,2,2802,22.5123983739,77.5513744354,False,0,False,False,False
BANAPURA,BPF,MADHYA PRADESH,2,2808,22.4704475471,77.4808216095,False,0,False,False,False
BHAIRONPUR,BIF,MADHYA PRADESH,2,2812,22.431816,77.420139,False,0,False,False,False
PAGDHAL,PGL,MADHYA PRADESH,2,2817,22.42051,77.351421,False,0,False,False,False
CHHIDGAON,CGO,MADHYA PRADESH,2,2820,22.406793,77.313945,False,0,False,False,False
TIMARNI,TBN,MADHYA PRADESH,2,2826,22.37627,77.22981,False,0,False,False,False
