station_name,station_code,state_name,lat,lng,track_age_years
CHARKHERA KHURD,CKKD,MADHYA PRADESH,21.938906,76.642685,24
SURGAON BANJARI,SGBJ,MADHYA PRADESH,21.946389,76.544495,15
TALVADYA,TLV,MADHYA PRADESH,21.9277590641,76.4442443848,33
MATHELA,MTA,MADHYA PRADESH,21.8804561555,76.390171051,29
KHANDWA,KNW,MADHYA PRADESH,21.823676,76.353307,30
KHANDWA YARD,KNWX,Unknown,,,26
BARGAON GUJAR,BRGJ,MADHYA PRADESH,21.7845280856,76.3558387756,13
BAGMAR,BMA,MADHYA PRADESH,21.7368588607,76.3613319397,23
KOHDAD,KDK,MADHYA PRADESH,21.7022528941,76.36510849,31
DONGARGAON,DGN,MADHYA PRADESH,21.641154,76.363907,28
SAGPHATA,SXA,MADHYA PRADESH,21.574123,76.392231,35
MANDWA,MWA,MADHYA PRADESH,21.517601,76.390171,34
NEPANAGAR,NPNR,MADHYA PRADESH,21.463853,76.396952,19
CHANDNI,CDI,MADHYA PRADESH,21.427024,76.350517,15
ASIRGARH ROAD,AGQ,MADHYA PRADESH,21.377958,76.267605,21
BURHANPUR,BAU,MADHYA PRADESH,21.3342676,76.1985487,26
WAGHODA,WGA,MAHARASHTRA,21.256102,76.088905,22
RAVER,RV,MAHARASHTRA,21.222181,76.044574,26
NIMBHORA,NB,MAHARASHTRA,21.161161,75.975566,35
SAVDA,SAV,MAHARASHTRA,21.111006,75.910549,14
DUSKHEDA,DSK,MAHARASHTRA,21.073248,75.838623,26
BHUSAWAL B CABIN,BSBN,MAHARASHTRA,21.049579,75.822118,10
BHUSAVAL GOODS YARD,BSGS,Unknown,,,21
BHUSAVAL YARD,BSLX,Unknown,,,27
BHUSAVAL JN,BSL,MAHARASHTRA,21.0469912,75.7883817,19
BHADLI,BDI,MAHARASHTRA,21.0234632507,75.672712326,13
TARSOD,TRW,MAHARASHTRA,21.025787,75.633445,12
JALGAON JN,JL,MAHARASHTRA,21.018175,75.562935,10
SHIRSOLI,SS,MAHARASHTRA,20.933384,75.508003,32
MHASAVAD,MWD,MAHARASHTRA,20.870761921,75.4588222504,27
MAHEJI,MYJ,MAHARASHTRA,20.7687944313,75.424489975,31
PARDHANDE,PHQ,MAHARASHTRA,20.7294651895,75.3771114349,22
PACHORA JN,PC,MAHARASHTRA,20.668605,75.34853,9
GALAN,GAA,MAHARASHTRA,20.6098898065,75.2772903442,16
NAGARDEVLA,NGD,MAHARASHTRA,20.6032216547,75.1983261108,8
KAJGAON,KJ,MAHARASHTRA,20.573653,75.140305,13
VAGHLI,VGL,MAHARASHTRA,20.522699,75.074387,15
CHALISGAON JN,CSN,MAHARASHTRA,20.464209,74.999149,33
HIRAPUR,HPR,MAHARASHTRA,20.4246802267,74.9368000031,27
ROHINI,RHNE,MAHARASHTRA,20.3624514458,74.859380722,13
NAYDONGRI,NI,MAHARASHTRA,20.3486909504,74.8368930817,23
PIMPAR KHED,PKE,MAHARASHTRA,20.307925334,74.7564697266,29
NANDGAON YARD,NGNX,Unknown,,,22
NANDGAON,NGN,MAHARASHTRA,20.308086,74.659996,8
PANJHAN,PJN,MAHARASHTRA,20.275724,74.606781,12
HISVAHAL,HSL,MAHARASHTRA,20.282809,74.57056,19
PANEVADI,PNV,MAHARASHTRA,20.26574,74.495373,20
MANMAD JN,MMR,MAHARASHTRA,20.249877,74.438295,16
YY-MMRX,YY-MMRX,Unknown,,,17
SUMMIT,SUM,MAHARASHTRA,20.2113006011,74.3426799774,35
LASALGAON,LS,MAHARASHTRA,20.154908,74.226036,33
UGAON,UGN,MAHARASHTRA,20.122192,74.136429,8
NIPHAD,NR,MAHARASHTRA,20.096884,74.079781,20
KASBE-SUKENE,KBSN,MAHARASHTRA,20.072056,74.026909,33
KHERVADI,KW,MAHARASHTRA,20.046578,73.973608,16
ODHA,ODHA,MAHARASHTRA,20.01642,73.910866,28
NASIK ROAD,NK,MAHARASHTRA,19.948017,73.842287,21
DEVLALI,DVL,MAHARASHTRA,19.897099,73.83688,9
LAHAVIT,LT,MAHARASHTRA,19.852865,73.815079,16
ASVALI,AV,MAHARASHTRA,19.817421,73.751135,12
PADLI,PI,MAHARASHTRA,19.783988,73.665793,16
GHOTI,GO,MAHARASHTRA,19.723161,73.636194,14
IGATPURI YARD,IGPX,Unknown,,,17
IGATPURI,IGP,MAHARASHTRA,19.694153,73.562479,35
BLOCK AND CATCH SIDING CABINE NO.1,TGR1,Unknown,19.698274,73.543828,35
BLOCK AND CATCH SIDING CABINE NO.2,TGR2,Unknown,19.701506,73.500054,35
BLOCK AND CATCH SIDING CABINE NO.3,TGR3,Unknown,19.674838,73.486321,16
KASARA,KSRA,MAHARASHTRA,19.647599,73.472443,11
OOMBERMALI,OMB,MAHARASHTRA,19.628036,73.422661,12
KHARDI,KE,MAHARASHTRA,19.580332,73.393822,14
THANSIT,THS,MAHARASHTRA,19.549761,73.351593,27
ATGAON,ATG,MAHARASHTRA,19.5036513038,73.3281612396,13
ASANGAON,ASO,MAHARASHTRA,19.439238,73.307819,18
VASIND,VSD,MAHARASHTRA,19.406212,73.267479,26
KHADAVLI,KDV,MAHARASHTRA,19.35657892,73.21907043,18
TITVALA,TLA,MAHARASHTRA,19.296724,73.202934,24
AMBIVLI,ABY,MAHARASHTRA,19.267397,73.17152,18
SHAHAD,SHAD,MAHARASHTRA,19.244222,73.158131,9
KALYAN JN,KYN,MAHARASHTRA,19.235126,73.13015,34
KALYAN SIDING,KYNX,Unknown,,,34
THAKRULI,THK,MAHARASHTRA,19.225968,73.097878,8
DOMBIVILI,DI,MAHARASHTRA,19.218188,73.08687,34
KOPAR ROAD,KOPR,MAHARASHTRA,19.210975,73.077471,30
DIVA JN. CABIN,DWJN,MAHARASHTRA,19.188947,73.043203,20
DIVA,DIVA,MAHARASHTRA,19.188684,73.042195,20
YY-PSKT,YY-PSKT,Unknown,,,17
XX-TNAB,XX-TNAB,Unknown,,,33
THANE,TNA,MAHARASHTRA,19.185887,72.975547,14
MULUND,MLND,MAHARASHTRA,19.172065,72.956643,33
CRNM,CRNM,Unknown,,,27
NAHUR,NHU,MAHARASHTRA,19.154736,72.946773,13
BHANDUP,BND,MAHARASHTRA,19.14230998,72.93753505,19
KANJUR MARG,KJMG,Unknown,19.128201,72.928061,34
VIKHROLI,VK,MAHARASHTRA,19.11186,72.928212,19
GHATKOPAR,GC,MAHARASHTRA,19.085865,72.908471,19
VIDYAVIHAR,VVH,MAHARASHTRA,19.079518,72.897441,9
CLAS,CLAS,MAHARASHTRA,,,11
KURLA JN,CLA,MAHARASHTRA,19.065241,72.879395,16
MUMBAI SION,SIN,MAHARASHTRA,19.047495,72.864032,30
MUMBAI MATUNGA,MTN,MAHARASHTRA,19.027697,72.850192,14
MUMBAI DADAR CENTRAL,DR,Maharashtra,19.017189,72.842982,14
MUMBAI PAREL,PR,MAHARASHTRA,19.009115,72.837574,9
PAREL WORKSHOP,PRLW,Unknown,,,14
MUMBAI CURREY ROAD,CRD,MAHARASHTRA,18.99398,72.83294,17
MUMBAI CHINCHPOKLI,CHG,MAHARASHTRA,18.986919,72.832789,33
BYCULLA,BY,MAHARASHTRA,18.97655,72.832811,18
MZNC,MZNC,Unknown,,,24
MUMBAI SANDHURST ROAD,SNRD,MAHARASHTRA,18.962041,72.839463,15
BOMBAY MASJID,MSD,MAHARASHTRA,18.951935,72.838111,26
CSMT,CSMT,Maharashtra,,,12
MUMBAI CST,CSTM,Unknown,18.944101,72.836523,30
